session_id,alternative_id,mode,carrier,service_identifier,service_tier,departure_window,raw_cost,raw_duration,raw_distance,transfer_count,carbon_estimate_kg,p_on_time,p_severe_delay,p_cancelled,source_dataset,source_record_id
S0000007,S0000007_A2,Flight,Vistara,UK-778,Business,Afternoon,71058.0,7.33,1546.8,1,238.21,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-778_269443
S0000007,S0000007_A3,Flight,AirAsia,I5-319,Economy,Afternoon,3862.0,11.5,1546.8,2,238.21,0.88,0.03,0.01,canonical_flights.parquet,flight_I5-319_136873
S0000007,S0000007_A4,Rail,Drnt,12245,Premium Standard Sleeper,Morning,1232.79,29.0,1896.6,0,60.69,0.65,0.1,0.03,canonical_train_routes.parquet,train_12245_HWH_YPR
S0000008,S0000008_A1,Flight,Vistara,UK-876,Economy,Night,5441.0,11.25,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-876_170413
S0000008,S0000008_A2,Flight,Vistara,UK-876,Business,Night,38099.0,25.25,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-876_281854
S0000008,S0000008_A3,Flight,Indigo,6E-6505,Economy,Night,1776.0,1.25,456.1,0,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-6505_167841
S0000008,S0000008_A4,Rail,Exp,15023,3-Tier AC,Night,2273.14,32.72,1505.5,0,48.18,0.65,0.1,0.03,canonical_train_routes.parquet,train_15023_SCI_YPR
S0000009,S0000009_A1,Flight,Vistara,UK-933,Business,Afternoon,65529.0,18.17,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-933_219064
S0000009,S0000009_A2,Flight,AirAsia,I5-768,Economy,Afternoon,2480.0,7.75,1312.4,2,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_I5-768_25844
S0000009,S0000009_A3,Rail,Exp,13040,3-Tier AC,Afternoon,30507.4,38.42,20582.7,0,658.65,0.6268,0.2328,0.0,canonical_train_routes.parquet,train_13040_DLI_HWH
S0000010,S0000010_A1,Flight,Air India,AI-402,Business,Morning,50271.0,10.83,1665.7,1,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-402_265067
S0000010,S0000010_A2,Rail,SF,12478,3-Tier AC,Morning,1740.19,18.45,1145.4,0,36.65,0.65,0.1,0.03,canonical_train_routes.parquet,train_12478_JAT_KRLS
S0000011,S0000011_A1,Flight,AirAsia,I5-1530,Economy,Afternoon,1822.0,1.0,267.9,0,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_I5-1530_117240
S0000011,S0000011_A2,Flight,Air India,AI-501,Economy,Afternoon,6444.0,10.25,267.9,1,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-501_117373
S0000011,S0000011_A3,Rail,Exp,17309,2-Tier AC,Afternoon,276.56,1.57,95.9,0,3.07,0.65,0.1,0.03,canonical_train_routes.parquet,train_17309_SDVL_AMSA
S0000011,S0000011_A4,Rail,Pass,56270,3-Tier AC,Afternoon,85.4,1.0,27.3,0,0.87,0.65,0.1,0.03,canonical_train_routes.parquet,train_56270_KRNH_MSS
S0000012,S0000012_A1,Flight,Vistara,UK-707,Business,Evening,29656.0,2.08,1312.4,0,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-707_217524
S0000012,S0000012_A2,Rail,Raj,12302,Premium 3-Tier AC,Evening,2767.8,16.92,1465.7,0,46.9,0.6268,0.2328,0.0,canonical_train_routes.parquet,train_12302_NDLS_HWH
S0000012,S0000012_A3,Rail,Raj,12306,Premium 2-Tier AC,Evening,56131.63,19.67,20567.8,0,658.17,0.6268,0.2328,0.0,canonical_train_routes.parquet,train_12306_NDLS_HWH
S0000013,S0000013_A1,Flight,Air India,AI-423,Economy,Early Morning,23385.0,16.42,1265.6,1,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-423_29108
S0000013,S0000013_A2,Rail,Exp,18402,Standard Sleeper,Early Morning,645.68,22.22,1241.7,0,39.73,0.65,0.1,0.03,canonical_train_routes.parquet,train_18402_BDI_SCM
S0000013,S0000013_A3,Rail,SF,12141,3-Tier AC,Early Morning,648.4,6.23,407.7,0,13.05,0.65,0.1,0.03,canonical_train_routes.parquet,train_12141_BDI_SCKR
S0000014,S0000014_A1,Flight,Indigo,6E-7211,Economy,Morning,5136.0,7.83,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-7211_169366
S0000014,S0000014_A2,Flight,Vistara,UK-874,Business,Morning,38099.0,24.33,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-874_281555
S0000014,S0000014_A3,Rail,SF,12296,3-Tier AC,Morning,2683.1,34.28,1782.5,0,57.04,0.4099,0.4444,0.0603,canonical_train_routes.parquet,train_12296_SCKR_SBC
S0000014,S0000014_A4,Rail,SF,12863,3-Tier AC,Morning,1604.92,21.42,1054.0,0,33.73,0.65,0.1,0.03,canonical_train_routes.parquet,train_12863_SCM_YPR
S0000015,S0000015_A1,Flight,Vistara,UK-708,Economy,Night,11675.0,26.33,1385.2,1,213.32,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-708_148879
S0000015,S0000015_A2,Flight,Vistara,UK-774,Business,Night,55502.0,12.25,1385.2,1,213.32,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-774_274377
S0000015,S0000015_A3,Flight,SpiceJet,SG-5067,Economy,Night,6488.0,2.25,1385.2,0,213.32,0.88,0.03,0.01,canonical_flights.parquet,flight_SG-5067_149135
S0000015,S0000015_A4,Rail,SF,12867,Standard Sleeper,Night,490.52,15.3,943.3,0,30.19,0.65,0.1,0.03,canonical_train_routes.parquet,train_12867_HWH_HVM
S0000016,S0000016_A1,Flight,Vistara,UK-814,Economy,Night,6133.0,12.5,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-814_112745
S0000016,S0000016_A2,Flight,Air India,AI-808,Economy,Night,6200.0,23.58,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-808_114429
S0000016,S0000016_A3,Flight,Vistara,UK-814,Economy,Night,6133.0,12.5,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-814_113628
S0000016,S0000016_A4,Rail,Exp,16508,3-Tier AC,Night,1992.68,28.45,1316.0,0,42.11,0.65,0.1,0.03,canonical_train_routes.parquet,train_16508_SDVL_SCH
S0000017,S0000017_A1,Flight,SpiceJet,SG-8941,Economy,Afternoon,9971.0,5.83,1265.6,1,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_SG-8941_32604
S0000017,S0000017_A2,Flight,AirAsia,I5-775,Economy,Afternoon,12780.0,9.08,1265.6,1,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_I5-775_30199
S0000017,S0000017_A3,Flight,Vistara,UK-899,Economy,Afternoon,6060.0,2.25,1265.6,0,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-899_29115
S0000017,S0000017_A4,Rail,Exp,15647,3-Tier AC,Afternoon,648.4,6.37,407.7,0,13.05,0.65,0.1,0.03,canonical_train_routes.parquet,train_15647_BDI_SCKR
S0000018,S0000018_A1,Flight,Vistara,UK-828,Economy,Early Morning,7814.0,8.67,1759.4,1,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-828_186584
S0000018,S0000018_A2,Flight,Air India,AI-440,Economy,Early Morning,2586.0,2.67,1759.4,0,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-440_185326
S0000018,S0000018_A3,Rail,Exp,11077,Standard Sleeper,Early Morning,452.97,15.68,871.1,0,27.88,0.65,0.1,0.03,canonical_train_routes.parquet,train_11077_MUO_BHD
S0000018,S0000018_A4,Rail,SF,12875,2-Tier AC,Early Morning,1919.19,15.92,849.4,0,27.18,0.6328,0.27,0.0,canonical_train_routes.parquet,train_12875_KMS_NDLS
S0000019,S0000019_A1,Flight,Vistara,UK-944,Business,Afternoon,61933.0,8.08,1033.5,1,159.16,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-944_244819
S0000019,S0000019_A2,Rail,SF,12480,3-Tier AC,Afternoon,816.52,8.85,521.3,0,16.68,0.65,0.1,0.03,canonical_train_routes.parquet,train_12480_BDTS_GUS
S0000019,S0000019_A3,Rail,Exp,11061,3-Tier AC,Afternoon,943.21,10.63,606.9,0,19.42,0.65,0.1,0.03,canonical_train_routes.parquet,train_11061_LTT_MUO
S0000020,S0000020_A1,Flight,SpiceJet,SG-136,Economy,Early Morning,7488.0,2.75,1708.8,0,263.16,0.88,0.03,0.01,canonical_flights.parquet,flight_SG-136_85516
S0000020,S0000020_A2,Flight,Vistara,UK-897,Economy,Early Morning,4231.0,25.08,1708.8,1,263.16,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-897_91148
S0000020,S0000020_A3,Flight,Vistara,UK-858,Economy,Early Morning,4111.0,7.83,1708.8,1,263.16,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-858_92007
S0000020,S0000020_A4,Rail,GR,06501,3-Tier AC,Early Morning,929.0,13.62,597.3,0,19.11,0.65,0.1,0.03,canonical_train_routes.parquet,train_06501_SDVL_KLM
S0000021,S0000021_A1,Flight,Indigo,6E-6464,Economy,Early Morning,2201.0,1.58,834.4,0,128.5,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-6464_101873
S0000021,S0000021_A2,Flight,Vistara,UK-897,Economy,Early Morning,8224.0,6.58,834.4,1,128.5,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-897_96121
S0000021,S0000021_A3,Flight,Vistara,UK-810,Economy,Early Morning,6568.0,9.5,834.4,1,128.5,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-810_102167
S0000021,S0000021_A4,Rail,Exp,11018,2-Tier AC,Early Morning,2508.45,23.17,1119.7,0,35.83,0.65,0.1,0.03,canonical_train_routes.parquet,train_11018_SDVL_DR
S0000022,S0000022_A1,Flight,Air India,AI-887,Business,Early Morning,45257.0,27.92,1759.4,1,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-887_224632
S0000022,S0000022_A2,Flight,Air India,AI-485,Economy,Early Morning,16813.0,29.5,1759.4,1,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-485_38805
S0000022,S0000022_A3,Rail,Shtb,12017,Premium 3-Tier AC,Early Morning,259.19,1.78,109.7,0,3.51,0.65,0.1,0.03,canonical_train_routes.parquet,train_12017_NDLS_MSP
S0000022,S0000022_A4,Rail,SF,12646,Standard Sleeper,Early Morning,358.96,11.48,690.3,0,22.09,0.65,0.1,0.03,canonical_train_routes.parquet,train_12646_NZM_MSO
S0000023,S0000023_A1,Flight,AirAsia,I5-942,Economy,Afternoon,2836.0,12.5,1665.7,2,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_I5-942_66407
S0000023,S0000023_A2,Flight,SpiceJet,SG-455,Economy,Afternoon,6196.0,5.92,1665.7,1,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_SG-455_64660
S0000023,S0000023_A3,Flight,Vistara,UK-944,Economy,Afternoon,5949.0,18.92,1665.7,1,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-944_66685
S0000023,S0000023_A4,Rail,SF,12619,3-Tier AC,Afternoon,1070.34,13.15,692.8,0,22.17,0.65,0.1,0.03,canonical_train_routes.parquet,train_12619_LTT_SHMI
S0000023,S0000023_A5,Rail,SF,12978,3-Tier AC,Afternoon,2174.42,24.83,1438.8,0,46.04,0.65,0.1,0.03,canonical_train_routes.parquet,train_12978_KRLS_SHMI
S0000024,S0000024_A1,Flight,Vistara,UK-826,Business,Afternoon,44144.0,8.42,267.9,1,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-826_295991
S0000024,S0000024_A2,Flight,Vistara,UK-826,Economy,Afternoon,4755.0,8.42,267.9,1,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-826_196430
S0000024,S0000024_A3,Flight,Air India,AI-429,Economy,Afternoon,6450.0,29.17,267.9,2,41.26,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-429_195161
S0000024,S0000024_A4,Rail,SF,12777,3-Tier AC,Afternoon,186.93,2.1,95.9,0,3.07,0.65,0.1,0.03,canonical_train_routes.parquet,train_12777_AMSA_SDVL
S0000024,S0000024_A5,Rail,SF,12254,3-Tier AC,Afternoon,1408.82,18.52,921.5,0,29.49,0.65,0.1,0.03,canonical_train_routes.parquet,train_12254_HVM_YPR
S0000025,S0000025_A1,Flight,Air India,AI-803,Business,Early Morning,53164.0,14.92,1137.1,1,175.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-803_207827
S0000025,S0000025_A2,Flight,Air India,AI-803,Economy,Early Morning,5761.0,14.92,1137.1,1,175.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-803_9529
S0000025,S0000025_A3,Flight,Air India,AI-469,Economy,Early Morning,5852.0,11.17,1137.1,1,175.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-469_5907
S0000025,S0000025_A4,Rail,GR,12187,Standard Sleeper,Early Morning,205.14,7.25,394.5,0,12.62,0.65,0.1,0.03,canonical_train_routes.parquet,train_12187_BDI_DR
S0000025,S0000025_A5,Rail,Exp,01102,3-Tier AC,Early Morning,617.02,7.58,386.5,0,12.37,0.4558,0.3748,0.0982,canonical_train_routes.parquet,train_01102_BDI_LTT
S0000026,S0000026_A1,Flight,Vistara,UK-808,Business,Morning,56588.0,9.0,456.1,1,70.24,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-808_258361
S0000026,S0000026_A2,Rail,SF,12578,Standard Sleeper,Morning,22048.94,18.0,42401.8,0,1356.86,0.65,0.1,0.03,canonical_train_routes.parquet,train_12578_Y_SCKR
S0000026,S0000026_A3,Rail,SF,12577,3-Tier AC,Morning,54992.52,18.0,37126.7,0,1188.05,0.65,0.1,0.03,canonical_train_routes.parquet,train_12577_Y_SCKR
S0000027,S0000027_A1,Flight,Vistara,UK-839,Business,Afternoon,27864.0,2.83,1759.4,0,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-839_222999
S0000027,S0000027_A2,Rail,Exp,15708,3-Tier AC,Afternoon,1702.3,23.75,1119.8,0,35.83,0.3144,0.3492,0.035,canonical_train_routes.parquet,train_15708_BHD_SPJ
S0000027,S0000027_A3,Rail,Exp,11067-Slip,3-Tier AC,Afternoon,25997.98,3.58,17535.8,0,561.15,0.65,0.1,0.03,canonical_train_routes.parquet,train_11067-Slip_BDI_MUO
S0000028,S0000028_A1,Flight,Air India,AI-774,Business,Night,59021.0,12.75,1137.1,1,175.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-774_229993
S0000028,S0000028_A2,Flight,Indigo,6E-248,Economy,Night,2738.0,2.08,1137.1,0,175.11,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-248_49318
S0000028,S0000028_A3,Rail,Drnt,12289,Premium 2-Tier AC,Night,1159.39,5.53,394.5,0,12.62,0.65,0.1,0.03,canonical_train_routes.parquet,train_12289_DR_BDI
S0000028,S0000028_A4,Rail,SF,12971,Standard Sleeper,Night,8894.91,11.97,17105.6,0,547.38,0.65,0.1,0.03,canonical_train_routes.parquet,train_12971_BDTS_KDI
S0000029,S0000029_A1,Flight,Air India,AI-624,Economy,Evening,6540.0,13.83,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-624_22868
S0000029,S0000029_A2,Rail,SKr,12330,Standard Sleeper,Evening,5880.63,22.25,11308.9,0,361.88,0.65,0.1,0.03,canonical_train_routes.parquet,train_12330_DLI_SGBA
S0000029,S0000029_A3,Rail,GR,12570,Standard Sleeper,Evening,10545.08,19.75,20279.0,0,648.93,0.65,0.1,0.03,canonical_train_routes.parquet,train_12570_ANVT_LLPR
S0000030,S0000030_A1,Flight,Vistara,UK-941,Business,Evening,61049.0,27.17,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-941_217833
S0000030,S0000030_A2,Flight,Indigo,6E-2032,Economy,Evening,7096.0,7.17,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-2032_23083
S0000030,S0000030_A3,Flight,Air India,AI-415,Economy,Evening,10081.0,19.42,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-415_22080
S0000030,S0000030_A4,Rail,SF,12920,2-Tier AC,Evening,2134.79,18.4,948.3,0,30.35,0.65,0.1,0.03,canonical_train_routes.parquet,train_12920_BHD_LMNR
S0000030,S0000030_A5,Rail,GR,12570,3-Tier AC,Evening,30057.92,19.75,20279.0,0,648.93,0.65,0.1,0.03,canonical_train_routes.parquet,train_12570_ANVT_LLPR
S0000031,S0000031_A1,Flight,Vistara,UK-960,Economy,Morning,4099.0,7.92,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-960_77220
S0000031,S0000031_A2,Flight,Indigo,6E-5312,Economy,Morning,2901.0,1.33,622.7,0,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-5312_76341
S0000031,S0000031_A3,Flight,GO FIRST,G8-327,Economy,Morning,4325.0,6.67,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_G8-327_75632
S0000031,S0000031_A4,Rail,Exp,16311,3-Tier AC,Morning,6077.78,18.0,4076.2,0,130.44,0.65,0.1,0.03,canonical_train_routes.parquet,train_16311_KLMG_SCH
S0000032,S0000032_A1,Flight,Indigo,6E-5209,Economy,Early Morning,4056.0,7.08,834.4,1,128.5,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-5209_57178
S0000032,S0000032_A2,Flight,Vistara,UK-851,Business,Early Morning,20684.0,1.83,834.4,0,128.5,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-851_233607
S0000032,S0000032_A3,Rail,Exp,16339,Standard Sleeper,Afternoon,558.58,22.02,1074.2,0,34.37,0.65,0.1,0.03,canonical_train_routes.parquet,train_16339_DR_CSDR
S0000033,S0000033_A1,Flight,GO FIRST,G8-7555,Economy,Afternoon,2098.0,2.17,1265.6,0,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_G8-7555_31461
S0000033,S0000033_A2,Flight,Vistara,UK-933,Business,Afternoon,51697.0,16.33,1265.6,1,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-933_221961
S0000033,S0000033_A3,Rail,Exp,13040,3-Tier AC,Afternoon,879.57,14.55,563.9,0,18.04,0.65,0.1,0.03,canonical_train_routes.parquet,train_13040_DLI_ASCE
S0000033,S0000033_A4,Rail,SF,12406,3-Tier AC,Afternoon,987.17,10.02,636.6,0,20.37,0.65,0.1,0.03,canonical_train_routes.parquet,train_12406_NZM_SCI
S0000034,S0000034_A1,Flight,Vistara,UK-975,Economy,Early Morning,5549.0,6.5,1265.6,1,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-975_31081
S0000034,S0000034_A2,Flight,Vistara,UK-943,Business,Early Morning,53937.0,4.75,1265.6,1,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-943_219538
S0000034,S0000034_A3,Flight,Vistara,UK-829,Business,Early Morning,24056.0,2.33,1265.6,0,194.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-829_221676
S0000034,S0000034_A4,Rail,Exp,11057,3-Tier AC,Early Morning,26288.8,9.35,17732.3,0,567.43,0.65,0.1,0.03,canonical_train_routes.parquet,train_11057_BDI_SCI
S0000035,S0000035_A1,Flight,Vistara,UK-975,Business,Early Morning,57992.0,14.17,1759.4,1,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-975_224268
S0000035,S0000035_A2,Flight,SpiceJet,SG-191,Economy,Early Morning,4149.0,26.33,1759.4,1,270.95,0.88,0.03,0.01,canonical_flights.parquet,flight_SG-191_39073
S0000035,S0000035_A3,Rail,SF,12149,Standard Sleeper,Early Morning,114.61,3.95,220.4,0,7.05,0.65,0.1,0.03,canonical_train_routes.parquet,train_12149_BDI_MUO
S0000035,S0000035_A4,Rail,Exp,18238,Standard Sleeper,Early Morning,574.29,24.35,1104.4,0,35.34,0.65,0.1,0.03,canonical_train_routes.parquet,train_18238_NZM_TMR
S0000036,S0000036_A1,Flight,Vistara,UK-778,Business,Afternoon,62591.0,8.5,1665.7,1,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-778_265166
S0000036,S0000036_A2,Flight,Air India,AI-768,Business,Afternoon,50271.0,17.58,1665.7,1,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-768_266443
S0000036,S0000036_A3,Flight,Indigo,6E-6021,Economy,Afternoon,14312.0,9.5,1665.7,1,256.52,0.88,0.03,0.01,canonical_flights.parquet,flight_6E-6021_128195
S0000036,S0000036_A4,Rail,Exp,15612,Standard Sleeper,Afternoon,10157.63,32.67,19533.9,0,625.08,0.4558,0.3748,0.0982,canonical_train_routes.parquet,train_15612_HWH_LTT
S0000036,S0000036_A5,Rail,Exp,18030,2-Tier AC,Afternoon,4169.39,37.83,1881.6,0,60.21,0.4558,0.3748,0.0982,canonical_train_routes.parquet,train_18030_SHM_LTT
S0000037,S0000037_A1,Flight,Vistara,UK-930,Economy,Early Morning,10058.0,9.5,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-930_72205
S0000037,S0000037_A2,Flight,Air India,AI-635,Business,Early Morning,45693.0,16.5,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-635_240527
S0000037,S0000037_A3,Flight,Air India,AI-635,Business,Early Morning,45693.0,16.5,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-635_240302
S0000037,S0000037_A4,Rail,Exp,11067,3-Tier AC,Early Morning,1220.42,13.25,794.2,0,25.41,0.65,0.1,0.03,canonical_train_routes.parquet,train_11067_LTT_SCKR
S0000037,S0000037_A5,Rail,Exp,19011,3-Tier AC,Early Morning,393.69,4.13,235.6,0,7.54,0.65,0.1,0.03,canonical_train_routes.parquet,train_19011_BDTS_SCH
S0000038,S0000038_A1,Flight,Air India,AI-539,Business,Evening,49553.0,17.17,1033.5,1,159.16,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-539_293006
S0000038,S0000038_A2,Rail,SF,12564,2-Tier AC,Evening,39138.11,10.48,17922.3,0,573.51,0.4558,0.3748,0.0982,canonical_train_routes.parquet,train_12564_MUO_LTT
S0000039,S0000039_A1,Flight,Vistara,UK-927,Business,Morning,59929.0,7.33,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-927_217961
S0000039,S0000039_A2,Flight,Air India,AI-506,Business,Morning,57405.0,19.5,1312.4,1,202.11,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-506_216799
S0000039,S0000039_A3,Rail,Raj,12432,Premium 2-Tier AC,Morning,5531.38,27.85,1998.9,0,63.96,0.65,0.1,0.03,canonical_train_routes.parquet,train_12432_NZM_SHMI
S0000039,S0000039_A4,Rail,SF,12321,3-Tier AC,Morning,26978.04,18.0,18198.0,0,582.34,0.6268,0.2328,0.0,canonical_train_routes.parquet,train_12321_PI_HWH
S0000040,S0000040_A1,Flight,Air India,AI-774,Economy,Night,6479.0,24.33,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_AI-774_75557
S0000040,S0000040_A2,Flight,Vistara,UK-988,Business,Night,64700.0,12.5,622.7,1,95.9,0.88,0.03,0.01,canonical_flights.parquet,flight_UK-988_241512
S0000040,S0000040_A3,Rail,Exp,19039,3-Tier AC,Night,393.69,4.18,235.6,0,7.54,0.65,0.1,0.03,canonical_train_routes.parquet,train_19039_BDTS_SCH
