traveller_id,session_id,alternative_id,persona_type,mode,origin_city,destination_city,departure_window,trip_purpose,party_size,lead_days,chosen,rank,choice_probability,utility,raw_cost,raw_duration,raw_distance,cost_score,time_score,reliability_score,comfort_score,transfer_count,transfer_score,carbon_estimate_kg,carbon_score,departure_fit,source_dataset,source_record_id
T000002,S0000007,S0000007_A3,Cost-Sensitive Commuter,Flight,Kolkata,Bangalore,Afternoon,Family / Personal,1,3,1,2,0.2889092308316966,0.8163,3862.0,11.5,1546.8,0.9623,0.8076,0.971,0.8,2,0.3333,238.21,0.0,1.0,canonical_flights.parquet,flight_I5-319_136873
T000002,S0000007,S0000007_A4,Cost-Sensitive Commuter,Rail,Kolkata,Bangalore,Afternoon,Family / Personal,1,3,0,1,0.2916611136551945,0.81867,1232.79,29.0,1896.6,1.0,0.0,0.909,0.85,0,1.0,60.69,1.0,0.6835,canonical_train_routes.parquet,train_12245_HWH_YPR
T000002,S0000008,S0000008_A1,Cost-Sensitive Commuter,Flight,Hyderabad,Bangalore,Night,Commute,1,27,1,3,0.2529342102922827,0.79875,5441.0,11.25,456.1,0.8991,0.6822,0.971,0.8,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_UK-876_170413
T000002,S0000008,S0000008_A2,Cost-Sensitive Commuter,Flight,Hyderabad,Bangalore,Night,Commute,1,27,0,4,0.11792978636284938,0.60799,38099.0,25.25,456.1,0.0,0.2374,0.971,0.95,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_UK-876_281854
T000002,S0000008,S0000008_A3,Cost-Sensitive Commuter,Flight,Hyderabad,Bangalore,Night,Commute,1,27,0,1,0.3160338779494486,0.85443,1776.0,1.25,456.1,1.0,1.0,0.971,0.8,0,1.0,70.24,0.0,1.0,canonical_flights.parquet,flight_6E-6505_167841
T000002,S0000008,S0000008_A4,Cost-Sensitive Commuter,Rail,Hyderabad,Bangalore,Night,Commute,1,27,0,2,0.3131021253954193,0.8521,2273.14,32.72,1505.5,0.9863,0.0,0.909,0.65,0,1.0,48.18,1.0,1.0,canonical_train_routes.parquet,train_15023_SCI_YPR
T000003,S0000009,S0000009_A1,Cost-Sensitive Commuter,Flight,Delhi,Kolkata,Afternoon,Leisure,1,18,0,2,0.2678435525311893,0.74559,65529.0,18.17,1312.4,0.0,0.6603,0.971,0.95,1,0.5,202.11,1.0,1.0,canonical_flights.parquet,flight_UK-933_219064
T000003,S0000009,S0000009_A2,Cost-Sensitive Commuter,Flight,Delhi,Kolkata,Afternoon,Leisure,1,18,1,1,0.5935272047615581,0.94451,2480.0,7.75,1312.4,1.0,1.0,0.971,0.8,2,0.3333,202.11,1.0,1.0,canonical_flights.parquet,flight_I5-768_25844
T000003,S0000009,S0000009_A3,Cost-Sensitive Commuter,Rail,Delhi,Kolkata,Afternoon,Leisure,1,18,0,3,0.13862924270725266,0.58094,30507.4,38.42,20582.7,0.5555,0.0,0.8463,0.65,0,1.0,658.65,0.0,1.0,canonical_train_routes.parquet,train_13040_DLI_HWH
T000003,S0000010,S0000010_A1,Cost-Sensitive Commuter,Flight,Kolkata,Mumbai,Morning,Leisure,1,29,0,2,0.31398376777361386,0.63066,50271.0,10.83,1665.7,0.0,1.0,0.971,0.95,1,0.5,256.52,0.0,1.0,canonical_flights.parquet,flight_AI-402_265067
T000003,S0000010,S0000010_A2,Cost-Sensitive Commuter,Rail,Kolkata,Mumbai,Morning,Leisure,1,29,1,1,0.6860162322263861,0.82605,1740.19,18.45,1145.4,1.0,0.0,0.909,0.65,0,1.0,36.65,1.0,1.0,canonical_train_routes.parquet,train_12478_JAT_KRLS
T000003,S0000011,S0000011_A1,Cost-Sensitive Commuter,Flight,Bangalore,Chennai,Afternoon,Commute,1,41,0,3,0.1995999893162111,0.75433,1822.0,1.0,267.9,0.7269,1.0,0.971,0.8,0,1.0,41.26,0.0,1.0,canonical_flights.parquet,flight_I5-1530_117240
T000003,S0000011,S0000011_A2,Cost-Sensitive Commuter,Flight,Bangalore,Chennai,Afternoon,Commute,1,41,0,4,0.07608379588674234,0.51321,6444.0,10.25,267.9,0.0,0.0,0.971,0.8,1,0.5,41.26,0.0,1.0,canonical_flights.parquet,flight_AI-501_117373
T000003,S0000011,S0000011_A3,Cost-Sensitive Commuter,Rail,Bangalore,Chennai,Afternoon,Commute,1,41,0,2,0.3481785108097467,0.89343,276.56,1.57,95.9,0.9699,0.9384,0.909,0.65,0,1.0,3.07,0.9455,1.0,canonical_train_routes.parquet,train_17309_SDVL_AMSA
T000003,S0000011,S0000011_A4,Cost-Sensitive Commuter,Rail,Bangalore,Chennai,Afternoon,Commute,1,41,1,1,0.37613770398729995,0.91274,85.4,1.0,27.3,1.0,1.0,0.909,0.65,0,1.0,0.87,1.0,1.0,canonical_train_routes.parquet,train_56270_KRNH_MSS
T000003,S0000012,S0000012_A1,Cost-Sensitive Commuter,Flight,Delhi,Kolkata,Evening,Business,1,31,1,2,0.4236494643632956,0.84605,29656.0,2.08,1312.4,0.4961,1.0,0.971,0.95,0,1.0,202.11,0.7461,1.0,canonical_flights.parquet,flight_UK-707_217524
T000003,S0000012,S0000012_A2,Cost-Sensitive Commuter,Rail,Delhi,Kolkata,Evening,Business,1,31,0,1,0.46614949076085554,0.86995,2767.8,16.92,1465.7,1.0,0.1563,0.8463,0.85,0,1.0,46.9,1.0,1.0,canonical_train_routes.parquet,train_12302_NDLS_HWH
T000003,S0000012,S0000012_A3,Cost-Sensitive Commuter,Rail,Delhi,Kolkata,Evening,Business,1,31,0,3,0.1102010448758487,0.5094,56131.63,19.67,20567.8,0.0,0.0,0.8463,0.85,0,1.0,658.17,0.0,1.0,canonical_train_routes.parquet,train_12306_NDLS_HWH
T000004,S0000013,S0000013_A1,Cost-Sensitive Commuter,Flight,Delhi,Hyderabad,Early Morning,Commute,1,39,0,3,0.086750820690102,0.45833,23385.0,16.42,1265.6,0.0,0.3627,0.971,0.8,1,0.5,194.9,0.0,1.0,canonical_flights.parquet,flight_AI-423_29108
T000004,S0000013,S0000013_A2,Cost-Sensitive Commuter,Rail,Delhi,Hyderabad,Early Morning,Commute,1,39,0,2,0.30369985031698205,0.77158,645.68,22.22,1241.7,1.0,0.0,0.909,0.65,0,1.0,39.73,0.8533,1.0,canonical_train_routes.parquet,train_18402_BDI_SCM
T000004,S0000013,S0000013_A3,Cost-Sensitive Commuter,Rail,Delhi,Hyderabad,Early Morning,Commute,1,39,1,1,0.6095493289929159,0.94575,648.4,6.23,407.7,0.9999,1.0,0.909,0.65,0,1.0,13.05,1.0,1.0,canonical_train_routes.parquet,train_12141_BDI_SCKR
T000004,S0000014,S0000014_A1,Cost-Sensitive Commuter,Flight,Hyderabad,Bangalore,Morning,Commute,1,21,0,2,0.27251499722578876,0.74403,5136.0,7.83,456.1,0.9032,1.0,0.971,0.8,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_6E-7211_169366
T000004,S0000014,S0000014_A2,Cost-Sensitive Commuter,Flight,Hyderabad,Bangalore,Morning,Commute,1,21,0,4,0.09392848062629225,0.47774,38099.0,24.33,456.1,0.0,0.3762,0.971,0.95,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_UK-874_281555
T000004,S0000014,S0000014_A3,Cost-Sensitive Commuter,Rail,Hyderabad,Bangalore,Morning,Commute,1,21,0,3,0.18173210429777995,0.64274,2683.1,34.28,1782.5,0.9705,0.0,0.7067,0.65,0,1.0,57.04,0.3615,1.0,canonical_train_routes.parquet,train_12296_SCKR_SBC
T000004,S0000014,S0000014_A4,Cost-Sensitive Commuter,Rail,Hyderabad,Bangalore,Morning,Commute,1,21,1,1,0.45182441785013916,0.87043,1604.92,21.42,1054.0,1.0,0.4862,0.909,0.65,0,1.0,33.73,1.0,1.0,canonical_train_routes.parquet,train_12863_SCM_YPR
T000004,S0000015,S0000015_A1,Cost-Sensitive Commuter,Flight,Kolkata,Chennai,Night,Family / Personal,1,45,0,3,0.14111699256049254,0.57473,11675.0,26.33,1385.2,0.7967,0.0,0.971,0.8,1,0.5,213.32,0.0,1.0,canonical_flights.parquet,flight_UK-708_148879
T000004,S0000015,S0000015_A2,Cost-Sensitive Commuter,Flight,Kolkata,Chennai,Night,Family / Personal,1,45,0,4,0.10819220061897997,0.50831,55502.0,12.25,1385.2,0.0,0.5847,0.971,0.95,1,0.5,213.32,0.0,1.0,canonical_flights.parquet,flight_UK-774_274377
T000004,S0000015,S0000015_A3,Cost-Sensitive Commuter,Flight,Kolkata,Chennai,Night,Family / Personal,1,45,1,2,0.29768303539057267,0.76134,6488.0,2.25,1385.2,0.891,1.0,0.971,0.8,0,1.0,213.32,0.0,1.0,canonical_flights.parquet,flight_SG-5067_149135
T000004,S0000015,S0000015_A4,Cost-Sensitive Commuter,Rail,Kolkata,Chennai,Night,Family / Personal,1,45,0,1,0.4530077714299548,0.86631,490.52,15.3,943.3,1.0,0.4581,0.909,0.65,0,1.0,30.19,1.0,1.0,canonical_train_routes.parquet,train_12867_HWH_HVM
T000004,S0000016,S0000016_A1,Cost-Sensitive Commuter,Flight,Bangalore,Hyderabad,Night,Commute,2,40,0,2,0.18832307430577933,0.55516,6133.0,12.5,456.1,0.0159,1.0,0.971,0.8,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_UK-814_112745
T000004,S0000016,S0000016_A2,Cost-Sensitive Commuter,Flight,Bangalore,Hyderabad,Night,Commute,2,40,1,4,0.12361834647622306,0.44992,6200.0,23.58,456.1,0.0,0.3053,0.971,0.8,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_AI-808_114429
T000004,S0000016,S0000016_A3,Cost-Sensitive Commuter,Flight,Bangalore,Hyderabad,Night,Commute,2,40,0,3,0.18832307430577933,0.55516,6133.0,12.5,456.1,0.0159,1.0,0.971,0.8,1,0.5,70.24,0.0,1.0,canonical_flights.parquet,flight_UK-814_113628
T000004,S0000016,S0000016_A4,Cost-Sensitive Commuter,Rail,Bangalore,Hyderabad,Night,Commute,2,40,0,1,0.49973550491221813,0.79914,1992.68,28.45,1316.0,1.0,0.0,0.909,0.65,0,1.0,42.11,1.0,1.0,canonical_train_routes.parquet,train_16508_SDVL_SCH
T000005,S0000017,S0000017_A1,Cost-Sensitive Commuter,Flight,Delhi,Hyderabad,Afternoon,Commute,1,22,0,3,0.15281759953782056,0.61655,9971.0,5.83,1265.6,0.2315,0.4758,0.971,0.8,1,0.5,194.9,0.0,1.0,canonical_flights.parquet,flight_SG-8941_32604
T000005,S0000017,S0000017_A2,Cost-Sensitive Commuter,Flight,Delhi,Hyderabad,Afternoon,Commute,1,22,0,4,0.11868643914601876,0.55336,12780.0,9.08,1265.6,0.0,0.0,0.971,0.8,1,0.5,194.9,0.0,1.0,canonical_flights.parquet,flight_I5-775_30199
T000005,S0000017,S0000017_A3,Cost-Sensitive Commuter,Flight,Delhi,Hyderabad,Afternoon,Commute,1,22,0,2,0.2367879583894631,0.72603,6060.0,2.25,1265.6,0.5539,1.0,0.971,0.8,0,1.0,194.9,0.0,1.0,canonical_flights.parquet,flight_UK-899_29115
T000005,S0000017,S0000017_A4,Cost-Sensitive Commuter,Rail,Delhi,Hyderabad,Afternoon,Commute,1,22,1,1,0.4917080029266976,0.90871,648.4,6.37,407.7,1.0,0.3968,0.909,0.65,0,1.0,13.05,1.0,1.0,canonical_train_routes.parquet,train_15647_BDI_SCKR
T000005,S0000018,S0000018_A1,Cost-Sensitive Commuter,Flight,Chennai,Delhi,Early Morning,Commute,1,48,0,4,0.1016493554490931,0.56809,7814.0,8.67,1759.4,0.0,0.5472,0.971,0.8,1,0.5,270.95,0.0,1.0,canonical_flights.parquet,flight_UK-828_186584
T000005,S0000018,S0000018_A2,Cost-Sensitive Commuter,Flight,Chennai,Delhi,Early Morning,Commute,1,48,0,3,0.2190651554787661,0.76005,2586.0,2.67,1759.4,0.7102,1.0,0.971,0.8,0,1.0,270.95,0.0,1.0,canonical_flights.parquet,flight_AI-440_185326
T000005,S0000018,S0000018_A3,Cost-Sensitive Commuter,Rail,Chennai,Delhi,Early Morning,Commute,1,48,0,1,0.3805468127002217,0.89811,452.97,15.68,871.1,1.0,0.0181,0.909,0.65,0,1.0,27.88,0.9971,1.0,canonical_train_routes.parquet,train_11077_MUO_BHD
T000005,S0000018,S0000018_A4,Cost-Sensitive Commuter,Rail,Chennai,Delhi,Early Morning,Commute,1,48,1,2,0.2987386763719191,0.8376,1919.19,15.92,849.4,0.8008,0.0,0.8283,0.65,0,1.0,27.18,1.0,1.0,canonical_train_routes.parquet,train_12875_KMS_NDLS
T000005,S0000019,S0000019_A1,Cost-Sensitive Commuter,Flight,Mumbai,Chennai,Afternoon,Commute,1,24,0,3,0.13001716858708756,0.60419,61933.0,8.08,1033.5,0.0,1.0,0.971,0.95,1,0.5,159.16,0.0,1.0,canonical_flights.parquet,flight_UK-944_244819
T000005,S0000019,S0000019_A2,Cost-Sensitive Commuter,Rail,Mumbai,Chennai,Afternoon,Commute,1,24,1,1,0.45404054843661373,0.91682,816.52,8.85,521.3,1.0,0.698,0.909,0.65,0,1.0,16.68,1.0,1.0,canonical_train_routes.parquet,train_12480_BDTS_GUS
T000005,S0000019,S0000019_A3,Cost-Sensitive Commuter,Rail,Mumbai,Chennai,Afternoon,Commute,1,24,0,2,0.4159422829762986,0.89491,943.21,10.63,606.9,0.9979,0.0,0.909,0.65,0,1.0,19.42,0.9808,1.0,canonical_train_routes.parquet,train_11061_LTT_MUO
T000005,S0000020,S0000020_A1,Cost-Sensitive Commuter,Flight,Bangalore,Delhi,Early Morning,Commute,1,23,0,4,0.14209096380034927,0.60548,7488.0,2.75,1708.8,0.0,1.0,0.971,0.8,0,1.0,263.16,0.0,1.0,canonical_flights.parquet,flight_SG-136_85516
T000005,S0000020,S0000020_A2,Cost-Sensitive Commuter,Flight,Bangalore,Delhi,Early Morning,Commute,1,23,0,3,0.17773744666663416,0.66144,4231.0,25.08,1708.8,0.4966,0.0,0.971,0.8,1,0.5,263.16,0.0,1.0,canonical_flights.parquet,flight_UK-897_91148
T000005,S0000020,S0000020_A3,Cost-Sensitive Commuter,Flight,Bangalore,Delhi,Early Morning,Commute,1,23,1,2,0.19625747451821984,0.68622,4111.0,7.83,1708.8,0.5149,0.7725,0.971,0.8,1,0.5,263.16,0.0,1.0,canonical_flights.parquet,flight_UK-858_92007
T000005,S0000020,S0000020_A4,Cost-Sensitive Commuter,Rail,Bangalore,Delhi,Early Morning,Commute,1,23,0,1,0.4839141150147967,0.91184,929.0,13.62,597.3,1.0,0.5132,0.909,0.65,0,1.0,19.11,1.0,1.0,canonical_train_routes.parquet,train_06501_SDVL_KLM
T000006,S0000021,S0000021_A1,Cost-Sensitive Commuter,Flight,Bangalore,Mumbai,Early Morning,Commute,1,38,1,2,0.3281627241140566,0.79926,2201.0,1.58,834.4,1.0,1.0,0.971,0.8,0,1.0,128.5,0.0,1.0,canonical_flights.parquet,flight_6E-6464_101873
T000006,S0000021,S0000021_A2,Cost-Sensitive Commuter,Flight,Bangalore,Mumbai,Early Morning,Commute,1,38,0,4,0.11823445919841666,0.54405,8224.0,6.58,834.4,0.0,0.7684,0.971,0.8,1,0.5,128.5,0.0,1.0,canonical_flights.parquet,flight_UK-897_96121
T000006,S0000021,S0000021_A3,Cost-Sensitive Commuter,Flight,Bangalore,Mumbai,Early Morning,Commute,1,38,0,3,0.14168263555466412,0.58928,6568.0,9.5,834.4,0.2749,0.6332,0.971,0.8,1,0.5,128.5,0.0,1.0,canonical_flights.parquet,flight_UK-810_102167
T000006,S0000021,S0000021_A4,Cost-Sensitive Commuter,Rail,Bangalore,Mumbai,Early Morning,Commute,1,38,0,1,0.4119201811328627,0.85609,2508.45,23.17,1119.7,0.949,0.0,0.909,0.65,0,1.0,35.83,1.0,1.0,canonical_train_routes.parquet,train_11018_SDVL_DR
T000006,S0000022,S0000022_A1,Cost-Sensitive Commuter,Flight,Delhi,Chennai,Early Morning,Commute,2,5,0,4,0.07209536159312327,0.5042,45257.0,27.92,1759.4,0.0,0.057,0.971,0.95,1,0.5,270.95,0.0,1.0,canonical_flights.parquet,flight_AI-887_224632
T000006,S0000022,S0000022_A2,Cost-Sensitive Commuter,Flight,Delhi,Chennai,Early Morning,Commute,2,5,0,3,0.11097996718957846,0.61204,16813.0,29.5,1759.4,0.6321,0.0,0.971,0.8,1,0.5,270.95,0.0,1.0,canonical_flights.parquet,flight_AI-485_38805
T000006,S0000022,S0000022_A3,Cost-Sensitive Commuter,Rail,Delhi,Chennai,Early Morning,Commute,2,5,0,1,0.45853182905532525,0.96671,259.19,1.78,109.7,1.0,1.0,0.909,0.85,0,1.0,3.51,1.0,1.0,canonical_train_routes.parquet,train_12017_NDLS_MSP
T000006,S0000022,S0000022_A4,Cost-Sensitive Commuter,Rail,Delhi,Chennai,Early Morning,Commute,2,5,1,2,0.3583928421619731,0.90511,358.96,11.48,690.3,0.9978,0.6501,0.909,0.65,0,1.0,22.09,0.9305,1.0,canonical_train_routes.parquet,train_12646_NZM_MSO
T000006,S0000023,S0000023_A1,Cost-Sensitive Commuter,Flight,Mumbai,Kolkata,Afternoon,Commute,1,23,0,3,0.14543245684877562,0.65687,2836.0,12.5,1665.7,0.6555,0.652,0.971,0.8,2,0.3333,256.52,0.0,1.0,canonical_flights.parquet,flight_I5-942_66407
T000006,S0000023,S0000023_A2,Cost-Sensitive Commuter,Flight,Mumbai,Kolkata,Afternoon,Commute,1,23,0,4,0.09961888596452836,0.56228,6196.0,5.92,1665.7,0.0,1.0,0.971,0.8,1,0.5,256.52,0.0,1.0,canonical_flights.parquet,flight_SG-455_64660
T000006,S0000023,S0000023_A3,Cost-Sensitive Commuter,Flight,Mumbai,Kolkata,Afternoon,Commute,1,23,0,5,0.08343532365618957,0.51796,5949.0,18.92,1665.7,0.0482,0.3125,0.971,0.8,1,0.5,256.52,0.0,1.0,canonical_flights.parquet,flight_UK-944_66685
T000006,S0000023,S0000023_A4,Cost-Sensitive Commuter,Rail,Mumbai,Kolkata,Afternoon,Commute,1,23,0,1,0.4085244496335365,0.91508,1070.34,13.15,692.8,1.0,0.6177,0.909,0.65,0,1.0,22.17,1.0,1.0,canonical_train_routes.parquet,train_12619_LTT_SHMI
T000006,S0000023,S0000023_A5,Cost-Sensitive Commuter,Rail,Mumbai,Kolkata,Afternoon,Commute,1,23,1,2,0.26298888389697006,0.80497,2174.42,24.83,1438.8,0.7846,0.0,0.909,0.65,0,1.0,46.04,0.8981,1.0,canonical_train_routes.parquet,train_12978_KRLS_SHMI
T000006,S0000024,S0000024_A1,Cost-Sensitive Commuter,Flight,Chennai,Bangalore,Afternoon,Commute,3,23,0,5,0.08807861765548966,0.56005,44144.0,8.42,267.9,0.0,0.7665,0.971,0.95,1,0.5,41.26,0.0,1.0,canonical_flights.parquet,flight_UK-826_295991
T000006,S0000024,S0000024_A2,Cost-Sensitive Commuter,Flight,Chennai,Bangalore,Afternoon,Commute,3,23,1,3,0.1710831675309847,0.72603,4755.0,8.42,267.9,0.8961,0.7665,0.971,0.8,1,0.5,41.26,0.0,1.0,canonical_flights.parquet,flight_UK-826_196430
T000006,S0000024,S0000024_A3,Cost-Sensitive Commuter,Flight,Chennai,Bangalore,Afternoon,Commute,3,23,0,4,0.1245154491915694,0.6466,6450.0,29.17,267.9,0.8575,0.0,0.971,0.8,2,0.3333,41.26,0.0,1.0,canonical_flights.parquet,flight_AI-429_195161
T000006,S0000024,S0000024_A4,Cost-Sensitive Commuter,Rail,Chennai,Bangalore,Afternoon,Commute,3,23,0,1,0.41104791865368895,0.94517,186.93,2.1,95.9,1.0,1.0,0.909,0.65,0,1.0,3.07,1.0,1.0,canonical_train_routes.parquet,train_12777_AMSA_SDVL
T000006,S0000024,S0000024_A5,Cost-Sensitive Commuter,Rail,Chennai,Bangalore,Afternoon,Commute,3,23,0,2,0.20527484696826714,0.77158,1408.82,18.52,921.5,0.9722,0.3934,0.909,0.65,0,1.0,29.49,0.3082,1.0,canonical_train_routes.parquet,train_12254_HVM_YPR
T000007,S0000025,S0000025_A1,Cost-Sensitive Commuter,Flight,Delhi,Mumbai,Early Morning,Commute,1,44,1,5,0.06695991916494715,0.51651,53164.0,14.92,1137.1,0.0,0.0,0.971,0.95,1,0.5,175.11,0.0,1.0,canonical_flights.parquet,flight_AI-803_207827
T000007,S0000025,S0000025_A2,Cost-Sensitive Commuter,Flight,Delhi,Mumbai,Early Morning,Commute,1,44,0,4,0.12589071873176327,0.67434,5761.0,14.92,1137.1,0.8951,0.0,0.971,0.8,1,0.5,175.11,0.0,1.0,canonical_flights.parquet,flight_AI-803_9529
T000007,S0000025,S0000025_A3,Cost-Sensitive Commuter,Flight,Delhi,Mumbai,Early Morning,Commute,1,44,0,3,0.14421341037500157,0.70831,5852.0,11.17,1137.1,0.8934,0.4889,0.971,0.8,1,0.5,175.11,0.0,1.0,canonical_flights.parquet,flight_AI-469_5907
