session_id,traveller_id,origin_city,destination_city,search_date,travel_date,lead_days,departure_window,trip_purpose,party_size
S0000080,T000010,Kolkata,Delhi,2024-03-05,2024-03-17,12,Morning,Commute,1
S0000081,T000011,Mumbai,Hyderabad,2024-03-29,2024-04-09,11,Evening,Commute,1
S0000082,T000011,Mumbai,Bangalore,2024-03-18,2024-04-27,40,Afternoon,Commute,2
S0000083,T000011,Bangalore,Delhi,2024-03-22,2024-04-22,31,Afternoon,Business,1
S0000084,T000011,Delhi,Bangalore,2024-03-06,2024-03-26,20,Early Morning,Business,2
S0000085,T000011,Delhi,Mumbai,2024-03-16,2024-03-19,3,Afternoon,Family / Personal,1
S0000086,T000011,Bangalore,Kolkata,2024-03-29,2024-04-18,20,Early Morning,Commute,1
S0000087,T000011,Chennai,Hyderabad,2024-03-16,2024-03-22,6,Early Morning,Commute,1
S0000088,T000011,Mumbai,Delhi,2024-03-09,2024-04-26,48,Afternoon,Commute,3
S0000089,T000012,Mumbai,Hyderabad,2024-03-03,2024-04-18,46,Morning,Leisure,1
S0000090,T000012,Chennai,Bangalore,2024-03-15,2024-05-02,48,Afternoon,Leisure,1
S0000091,T000012,Bangalore,Delhi,2024-03-23,2024-03-24,1,Morning,Family / Personal,1
S0000092,T000012,Delhi,Hyderabad,2024-03-03,2024-04-04,32,Night,Commute,1
S0000093,T000012,Chennai,Delhi,2024-03-02,2024-03-17,15,Morning,Commute,1
S0000094,T000012,Mumbai,Delhi,2024-03-10,2024-04-03,24,Night,Family / Personal,2
S0000095,T000012,Mumbai,Hyderabad,2024-03-14,2024-04-18,35,Night,Commute,1
S0000096,T000012,Delhi,Hyderabad,2024-03-03,2024-03-15,12,Night,Commute,2
S0000097,T000013,Bangalore,Mumbai,2024-03-30,2024-04-25,26,Evening,Commute,1
S0000098,T000013,Delhi,Hyderabad,2024-03-11,2024-03-23,12,Night,Commute,1
S0000099,T000013,Bangalore,Mumbai,2024-03-23,2024-04-04,12,Morning,Commute,1
S0000100,T000013,Kolkata,Mumbai,2024-03-21,2024-03-29,8,Evening,Commute,1
S0000101,T000013,Kolkata,Mumbai,2024-03-28,2024-04-06,9,Evening,Commute,1
S0000102,T000013,Hyderabad,Mumbai,2024-03-07,2024-03-17,10,Afternoon,Commute,1
S0000103,T000013,Delhi,Hyderabad,2024-03-28,2024-04-29,32,Early Morning,Leisure,1
S0000104,T000013,Kolkata,Bangalore,2024-03-18,2024-03-31,13,Early Morning,Leisure,2
S0000105,T000014,Kolkata,Bangalore,2024-03-22,2024-05-07,46,Early Morning,Business,3
S0000106,T000014,Mumbai,Hyderabad,2024-03-14,2024-04-10,27,Early Morning,Commute,1
S0000107,T000014,Chennai,Kolkata,2024-03-14,2024-03-25,11,Afternoon,Commute,1
S0000108,T000014,Hyderabad,Chennai,2024-03-06,2024-04-13,38,Afternoon,Business,1
S0000109,T000014,Chennai,Bangalore,2024-03-07,2024-03-25,18,Early Morning,Commute,1
S0000110,T000014,Kolkata,Delhi,2024-03-17,2024-04-02,16,Night,Business,1
S0000111,T000014,Mumbai,Delhi,2024-03-07,2024-04-17,41,Evening,Leisure,1
S0000112,T000014,Mumbai,Hyderabad,2024-03-16,2024-04-14,29,Night,Leisure,1
S0000113,T000015,Delhi,Chennai,2024-03-30,2024-05-06,37,Night,Leisure,1
S0000114,T000015,Mumbai,Delhi,2024-03-18,2024-04-20,33,Morning,Commute,1
S0000115,T000015,Bangalore,Delhi,2024-03-14,2024-04-07,24,Night,Commute,3
S0000116,T000015,Hyderabad,Bangalore,2024-03-05,2024-03-26,21,Early Morning,Commute,1
S0000117,T000015,Mumbai,Kolkata,2024-03-06,2024-04-09,34,Early Morning,Commute,1
S0000118,T000015,Delhi,Mumbai,2024-03-17,2024-04-27,41,Early Morning,Commute,1
S0000119,T000015,Hyderabad,Chennai,2024-03-11,2024-03-15,4,Evening,Commute,1
S0000120,T000015,Kolkata,Mumbai,2024-03-10,2024-03-12,2,Evening,Commute,1
S0000121,T000016,Bangalore,Chennai,2024-03-17,2024-04-30,44,Early Morning,Leisure,1
S0000122,T000016,Kolkata,Bangalore,2024-03-27,2024-05-04,38,Afternoon,Commute,1
S0000123,T000016,Kolkata,Chennai,2024-03-04,2024-03-30,26,Early Morning,Commute,1
S0000124,T000016,Mumbai,Delhi,2024-03-02,2024-04-07,36,Night,Commute,1
S0000125,T000016,Chennai,Mumbai,2024-03-07,2024-04-14,38,Night,Leisure,1
S0000126,T000016,Bangalore,Kolkata,2024-03-20,2024-04-08,19,Afternoon,Commute,1
S0000127,T000016,Kolkata,Bangalore,2024-03-21,2024-04-04,14,Evening,Business,2
S0000128,T000016,Delhi,Bangalore,2024-03-03,2024-03-28,25,Morning,Commute,1
S0000129,T000017,Delhi,Bangalore,2024-03-01,2024-04-15,45,Morning,Leisure,1
S0000130,T000017,Bangalore,Kolkata,2024-03-19,2024-04-03,15,Early Morning,Commute,1
S0000131,T000017,Delhi,Kolkata,2024-03-02,2024-03-19,17,Evening,Family / Personal,1
S0000132,T000017,Mumbai,Delhi,2024-03-02,2024-04-08,37,Morning,Commute,1
S0000133,T000017,Mumbai,Hyderabad,2024-03-11,2024-04-15,35,Early Morning,Family / Personal,1
S0000134,T000017,Mumbai,Kolkata,2024-03-20,2024-03-27,7,Morning,Business,1
S0000135,T000017,Hyderabad,Bangalore,2024-03-09,2024-04-11,33,Early Morning,Leisure,1
S0000136,T000017,Kolkata,Delhi,2024-03-17,2024-03-23,6,Morning,Commute,3
S0000137,T000018,Bangalore,Chennai,2024-03-28,2024-05-03,36,Evening,Business,1
S0000138,T000018,Hyderabad,Kolkata,2024-03-18,2024-05-03,46,Night,Commute,1
S0000139,T000018,Delhi,Bangalore,2024-03-15,2024-04-20,36,Evening,Family / Personal,1
S0000140,T000018,Chennai,Kolkata,2024-03-20,2024-04-21,32,Evening,Commute,1
S0000141,T000018,Delhi,Mumbai,2024-03-13,2024-03-17,4,Morning,Commute,1
S0000142,T000018,Bangalore,Mumbai,2024-03-12,2024-03-17,5,Night,Commute,1
S0000143,T000018,Delhi,Bangalore,2024-03-06,2024-03-30,24,Morning,Commute,1
S0000144,T000018,Kolkata,Chennai,2024-03-04,2024-04-19,46,Early Morning,Commute,1
S0000145,T000019,Delhi,Bangalore,2024-03-13,2024-04-10,28,Early Morning,Family / Personal,1
S0000146,T000019,Chennai,Delhi,2024-03-02,2024-03-28,26,Afternoon,Leisure,1
S0000147,T000019,Hyderabad,Bangalore,2024-03-10,2024-03-30,20,Evening,Commute,1
S0000148,T000019,Mumbai,Chennai,2024-03-05,2024-04-07,33,Morning,Leisure,2
S0000149,T000019,Mumbai,Bangalore,2024-03-27,2024-04-29,33,Night,Commute,1
S0000150,T000019,Kolkata,Hyderabad,2024-03-02,2024-04-08,37,Evening,Family / Personal,1
S0000151,T000019,Kolkata,Bangalore,2024-03-22,2024-05-06,45,Evening,Commute,1
S0000152,T000019,Mumbai,Hyderabad,2024-03-02,2024-03-28,26,Night,Commute,1
S0000153,T000020,Bangalore,Delhi,2024-03-15,2024-05-03,49,Night,Leisure,1
S0000154,T000020,Hyderabad,Mumbai,2024-03-28,2024-05-11,44,Afternoon,Commute,2
S0000155,T000020,Delhi,Kolkata,2024-03-18,2024-03-27,9,Afternoon,Leisure,2
S0000156,T000020,Kolkata,Hyderabad,2024-03-25,2024-03-27,2,Night,Commute,2
S0000157,T000020,Chennai,Mumbai,2024-03-20,2024-04-08,19,Morning,Commute,1
S0000158,T000020,Chennai,Hyderabad,2024-03-10,2024-03-12,2,Afternoon,Leisure,1
S0000159,T000020,Chennai,Mumbai,2024-03-01,2024-04-16,46,Morning,Commute,1
S0000160,T000020,Hyderabad,Bangalore,2024-03-16,2024-04-25,40,Evening,Commute,1
S0000161,T000021,Bangalore,Delhi,2024-03-05,2024-03-25,20,Early Morning,Commute,1
S0000162,T000021,Mumbai,Bangalore,2024-03-06,2024-04-07,32,Night,Commute,1
S0000163,T000021,Mumbai,Bangalore,2024-03-29,2024-04-23,25,Afternoon,Family / Personal,1
S0000164,T000021,Chennai,Mumbai,2024-03-04,2024-04-10,37,Evening,Leisure,1
S0000165,T000021,Bangalore,Mumbai,2024-03-17,2024-03-24,7,Evening,Commute,2
S0000166,T000021,Delhi,Hyderabad,2024-03-20,2024-04-22,33,Night,Leisure,1
S0000167,T000021,Bangalore,Hyderabad,2024-03-06,2024-03-16,10,Afternoon,Commute,2
S0000168,T000021,Kolkata,Hyderabad,2024-03-05,2024-04-05,31,Early Morning,Business,1
S0000169,T000022,Chennai,Bangalore,2024-03-18,2024-04-13,26,Night,Commute,1
S0000170,T000022,Bangalore,Hyderabad,2024-03-10,2024-03-27,17,Night,Commute,1
S0000171,T000022,Kolkata,Mumbai,2024-03-03,2024-04-18,46,Morning,Commute,1
S0000172,T000022,Kolkata,Delhi,2024-03-04,2024-04-05,32,Afternoon,Commute,1
S0000173,T000022,Bangalore,Hyderabad,2024-03-11,2024-04-15,35,Evening,Commute,1
S0000174,T000022,Bangalore,Delhi,2024-03-21,2024-04-17,27,Evening,Commute,1
S0000175,T000022,Kolkata,Mumbai,2024-03-12,2024-04-14,33,Night,Family / Personal,1
S0000176,T000022,Kolkata,Hyderabad,2024-03-27,2024-04-01,5,Evening,Commute,1
S0000177,T000023,Chennai,Hyderabad,2024-03-07,2024-03-31,24,Night,Commute,1
S0000178,T000023,Bangalore,Hyderabad,2024-03-01,2024-03-21,20,Early Morning,Commute,1
S0000179,T000023,Bangalore,Mumbai,2024-03-09,2024-04-05,27,Afternoon,Commute,1
S0000180,T000023,Kolkata,Hyderabad,2024-03-05,2024-04-08,34,Early Morning,Family / Personal,1
S0000181,T000023,Chennai,Delhi,2024-03-06,2024-03-10,4,Afternoon,Commute,1
S0000182,T000023,Bangalore,Delhi,2024-03-10,2024-04-11,32,Afternoon,Commute,1
S0000183,T000023,Kolkata,Hyderabad,2024-03-06,2024-04-10,35,Early Morning,Commute,1
S0000184,T000023,Bangalore,Delhi,2024-03-08,2024-04-24,47,Night,Commute,1
S0000185,T000024,Mumbai,Bangalore,2024-03-27,2024-05-10,44,Night,Commute,1
S0000186,T000024,Delhi,Mumbai,2024-03-24,2024-05-03,40,Afternoon,Commute,1
S0000187,T000024,Kolkata,Mumbai,2024-03-03,2024-03-20,17,Evening,Commute,1
S0000188,T000024,Kolkata,Mumbai,2024-03-29,2024-04-17,19,Morning,Commute,1
S0000189,T000024,Kolkata,Hyderabad,2024-03-12,2024-03-17,5,Night,Business,1
S0000190,T000024,Kolkata,Chennai,2024-03-17,2024-04-27,41,Night,Commute,1
S0000191,T000024,Bangalore,Chennai,2024-03-05,2024-04-09,35,Night,Family / Personal,2
S0000192,T000024,Delhi,Bangalore,2024-03-10,2024-03-11,1,Evening,Business,1
S0000193,T000025,Hyderabad,Delhi,2024-03-22,2024-03-26,4,Night,Commute,2
S0000194,T000025,Bangalore,Hyderabad,2024-03-28,2024-03-30,2,Morning,Commute,1
S0000195,T000025,Kolkata,Hyderabad,2024-03-05,2024-04-03,29,Early Morning,Leisure,1
S0000196,T000025,Chennai,Bangalore,2024-03-22,2024-04-13,22,Night,Commute,1
S0000197,T000025,Kolkata,Delhi,2024-03-24,2024-03-27,3,Morning,Commute,3
S0000198,T000025,Bangalore,Kolkata,2024-03-19,2024-04-10,22,Morning,Commute,1
S0000199,T000025,Mumbai,Kolkata,2024-03-28,2024-04-07,10,Early Morning,Family / Personal,1
S0000200,T000025,Kolkata,Hyderabad,2024-03-15,2024-04-25,41,Afternoon,Commute,1
S0000201,T000026,Mumbai,Chennai,2024-03-24,2024-05-11,48,Evening,Family / Personal,1
S0000202,T000026,Delhi,Chennai,2024-03-01,2024-03-11,10,Evening,Commute,1
S0000203,T000026,Bangalore,Mumbai,2024-03-22,2024-04-30,39,Early Morning,Leisure,1
S0000204,T000026,Mumbai,Hyderabad,2024-03-21,2024-03-31,10,Evening,Business,1
S0000205,T000026,Mumbai,Hyderabad,2024-03-03,2024-03-31,28,Early Morning,Family / Personal,3
S0000206,T000026,Kolkata,Delhi,2024-03-02,2024-03-15,13,Night,Leisure,1
S0000207,T000026,Mumbai,Hyderabad,2024-03-19,2024-05-04,46,Afternoon,Family / Personal,1
S0000208,T000026,Kolkata,Hyderabad,2024-03-02,2024-04-19,48,Afternoon,Commute,1
S0000209,T000027,Hyderabad,Delhi,2024-03-29,2024-04-11,13,Evening,Commute,1
S0000210,T000027,Delhi,Mumbai,2024-03-24,2024-03-29,5,Early Morning,Commute,1
S0000211,T000027,Chennai,Hyderabad,2024-03-11,2024-03-19,8,Evening,Commute,1
S0000212,T000027,Bangalore,Kolkata,2024-03-04,2024-03-22,18,Early Morning,Family / Personal,1
S0000213,T000027,Kolkata,Chennai,2024-03-10,2024-03-27,17,Night,Commute,2
S0000214,T000027,Delhi,Hyderabad,2024-03-29,2024-04-16,18,Early Morning,Leisure,1
S0000215,T000027,Chennai,Hyderabad,2024-03-02,2024-04-19,48,Early Morning,Commute,1
S0000216,T000027,Delhi,Mumbai,2024-03-04,2024-03-16,12,Evening,Commute,1
S0000217,T000028,Kolkata,Hyderabad,2024-03-20,2024-05-06,47,Early Morning,Commute,1
S0000218,T000028,Delhi,Chennai,2024-03-10,2024-04-02,23,Morning,Commute,1
S0000219,T000028,Chennai,Hyderabad,2024-03-08,2024-03-29,21,Evening,Commute,3
S0000220,T000028,Delhi,Bangalore,2024-03-13,2024-04-04,22,Evening,Commute,1
S0000221,T000028,Mumbai,Hyderabad,2024-03-29,2024-05-14,46,Morning,Commute,1
S0000222,T000028,Mumbai,Bangalore,2024-03-05,2024-04-06,32,Evening,Leisure,2
S0000223,T000028,Kolkata,Mumbai,2024-03-13,2024-03-15,2,Morning,Commute,3
S0000224,T000028,Kolkata,Chennai,2024-03-07,2024-03-16,9,Early Morning,Commute,2
S0000225,T000029,Chennai,Delhi,2024-03-08,2024-04-25,48,Afternoon,Leisure,1
S0000226,T000029,Hyderabad,Delhi,2024-03-10,2024-04-16,37,Morning,Commute,1
S0000227,T000029,Kolkata,Bangalore,2024-03-09,2024-03-30,21,Night,Commute,1
S0000228,T000029,Hyderabad,Chennai,2024-03-06,2024-03-11,5,Afternoon,Family / Personal,1
S0000229,T000029,Delhi,Kolkata,2024-03-16,2024-03-28,12,Evening,Business,1
S0000230,T000029,Delhi,Kolkata,2024-03-19,2024-03-30,11,Early Morning,Commute,1
S0000231,T000029,Kolkata,Bangalore,2024-03-09,2024-04-05,27,Morning,Commute,1
S0000232,T000029,Delhi,Kolkata,2024-03-03,2024-03-10,7,Early Morning,Commute,1
S0000233,T000030,Bangalore,Kolkata,2024-03-10,2024-04-18,39,Early Morning,Commute,1
S0000234,T000030,Kolkata,Mumbai,2024-03-05,2024-03-09,4,Early Morning,Leisure,1
S0000235,T000030,Delhi,Hyderabad,2024-03-04,2024-03-23,19,Afternoon,Commute,1
S0000236,T000030,Kolkata,Bangalore,2024-03-15,2024-04-27,43,Evening,Commute,1
S0000237,T000030,Chennai,Hyderabad,2024-03-18,2024-04-29,42,Early Morning,Commute,1
S0000238,T000030,Kolkata,Mumbai,2024-03-24,2024-04-30,37,Evening,Leisure,1
S0000239,T000030,Delhi,Hyderabad,2024-03-07,2024-04-20,44,Afternoon,Commute,1
S0000240,T000030,Kolkata,Chennai,2024-03-13,2024-03-28,15,Morning,Commute,1
S0000241,T000031,Hyderabad,Bangalore,2024-03-16,2024-03-23,7,Evening,Leisure,1
S0000242,T000031,Bangalore,Chennai,2024-03-06,2024-03-20,14,Evening,Leisure,1
S0000243,T000031,Bangalore,Kolkata,2024-03-07,2024-03-11,4,Early Morning,Commute,1
S0000244,T000031,Chennai,Delhi,2024-03-12,2024-04-30,49,Evening,Family / Personal,1
S0000245,T000031,Kolkata,Chennai,2024-03-14,2024-04-13,30,Evening,Commute,2
S0000246,T000031,Bangalore,Delhi,2024-03-29,2024-04-11,13,Afternoon,Commute,1
S0000247,T000031,Bangalore,Delhi,2024-03-08,2024-04-23,46,Night,Commute,1
S0000248,T000031,Hyderabad,Kolkata,2024-03-04,2024-04-11,38,Morning,Leisure,1
S0000249,T000032,Chennai,Hyderabad,2024-03-13,2024-04-14,32,Afternoon,Business,1
S0000250,T000032,Hyderabad,Chennai,2024-03-04,2024-04-07,34,Evening,Commute,1
S0000251,T000032,Delhi,Kolkata,2024-03-21,2024-03-29,8,Early Morning,Commute,1
S0000252,T000032,Hyderabad,Chennai,2024-03-03,2024-03-19,16,Early Morning,Commute,1
S0000253,T000032,Kolkata,Hyderabad,2024-03-22,2024-04-02,11,Early Morning,Commute,1
S0000254,T000032,Chennai,Delhi,2024-03-22,2024-05-03,42,Afternoon,Family / Personal,1
S0000255,T000032,Chennai,Hyderabad,2024-03-23,2024-04-07,15,Early Morning,Commute,1
S0000256,T000032,Bangalore,Hyderabad,2024-03-19,2024-03-25,6,Early Morning,Leisure,1
S0000257,T000033,Kolkata,Delhi,2024-03-26,2024-05-11,46,Evening,Family / Personal,1
S0000258,T000033,Chennai,Bangalore,2024-03-10,2024-04-27,48,Afternoon,Family / Personal,1
S0000259,T000033,Bangalore,Mumbai,2024-03-21,2024-04-06,16,Evening,Leisure,1
S0000260,T000033,Chennai,Bangalore,2024-03-22,2024-04-05,14,Night,Leisure,1
S0000261,T000033,Delhi,Bangalore,2024-03-04,2024-04-15,42,Evening,Commute,1
S0000262,T000033,Mumbai,Hyderabad,2024-03-11,2024-03-29,18,Morning,Business,2
S0000263,T000033,Delhi,Bangalore,2024-03-10,2024-03-24,14,Early Morning,Commute,1
S0000264,T000033,Mumbai,Chennai,2024-03-30,2024-04-17,18,Early Morning,Leisure,1
S0000265,T000034,Hyderabad,Bangalore,2024-03-04,2024-03-28,24,Morning,Leisure,1
S0000266,T000034,Delhi,Bangalore,2024-03-04,2024-04-16,43,Early Morning,Business,1
S0000267,T000034,Chennai,Kolkata,2024-03-14,2024-04-30,47,Morning,Commute,1
S0000268,T000034,Hyderabad,Kolkata,2024-03-28,2024-05-02,35,Morning,Commute,1
S0000269,T000034,Kolkata,Delhi,2024-03-21,2024-04-19,29,Morning,Leisure,1
S0000270,T000034,Kolkata,Delhi,2024-03-27,2024-04-12,16,Night,Commute,1
S0000271,T000034,Delhi,Mumbai,2024-03-23,2024-04-11,19,Morning,Family / Personal,1
S0000272,T000034,Bangalore,Hyderabad,2024-03-30,2024-04-13,14,Afternoon,Leisure,1
S0000273,T000035,Delhi,Bangalore,2024-03-05,2024-03-22,17,Morning,Family / Personal,1
S0000274,T000035,Delhi,Bangalore,2024-03-21,2024-04-16,26,Evening,Commute,2
S0000275,T000035,Hyderabad,Bangalore,2024-03-05,2024-03-30,25,Early Morning,Business,1
S0000276,T000035,Mumbai,Chennai,2024-03-02,2024-03-03,1,Afternoon,Commute,1
S0000277,T000035,Chennai,Bangalore,2024-03-05,2024-04-17,43,Afternoon,Commute,1
S0000278,T000035,Bangalore,Mumbai,2024-03-19,2024-03-23,4,Morning,Leisure,1
S0000279,T000035,Mumbai,Kolkata,2024-03-11,2024-03-19,8,Afternoon,Family / Personal,2
S0000280,T000035,Kolkata,Bangalore,2024-03-26,2024-04-14,19,Evening,Commute,1
S0000281,T000036,Delhi,Mumbai,2024-03-06,2024-03-11,5,Morning,Business,1
S0000282,T000036,Delhi,Bangalore,2024-03-13,2024-04-13,31,Evening,Business,1
S0000283,T000036,Chennai,Mumbai,2024-03-16,2024-04-07,22,Afternoon,Commute,1
S0000284,T000036,Bangalore,Mumbai,2024-03-27,2024-05-02,36,Early Morning,Commute,1
S0000285,T000036,Kolkata,Delhi,2024-03-26,2024-05-12,47,Night,Leisure,1
S0000286,T000036,Hyderabad,Mumbai,2024-03-30,2024-03-31,1,Evening,Commute,1
S0000287,T000036,Chennai,Delhi,2024-03-30,2024-05-18,49,Night,Commute,1
S0000288,T000036,Bangalore,Mumbai,2024-03-05,2024-03-28,23,Afternoon,Leisure,1
S0000289,T000037,Kolkata,Chennai,2024-03-19,2024-03-22,3,Afternoon,Commute,1
S0000290,T000037,Chennai,Mumbai,2024-03-19,2024-05-02,44,Early Morning,Commute,1
