traveller_id,persona_type,cost_sensitivity,time_sensitivity,reliability_sensitivity,comfort_preference,transfer_tolerance,departure_time_flexibility,sustainability_preference
T000072,Cost-Sensitive Commuter,0.8368,0.2182,0.7313,0.8293,0.4737,0.5904,0.4122
T000073,Cost-Sensitive Commuter,0.9335,0.5418,0.7866,0.6492,0.5381,0.7768,0.4875
T000074,Cost-Sensitive Commuter,0.8659,0.3345,0.632,0.6022,0.7938,0.706,0.3319
T000075,Cost-Sensitive Commuter,0.6752,0.2462,0.7963,0.6216,0.7713,0.6668,0.5939
T000076,Cost-Sensitive Commuter,0.7954,0.273,0.7537,0.3286,0.9557,0.5821,0.3363
T000077,Cost-Sensitive Commuter,0.5365,0.5141,0.7665,0.6173,0.7361,0.7845,0.503
T000078,Cost-Sensitive Commuter,0.8671,0.1579,0.6031,0.5057,0.6278,0.4858,0.4291
T000079,Cost-Sensitive Commuter,0.7624,0.5494,0.6812,0.4334,0.9082,0.7445,0.5549
T000080,Cost-Sensitive Commuter,0.7287,0.5317,0.6263,0.4833,0.7794,0.6749,0.1282
T000081,Cost-Sensitive Commuter,0.8565,0.3202,0.5102,0.4817,0.9915,0.8153,0.6054
T000082,Cost-Sensitive Commuter,0.8048,0.2482,0.661,0.7696,0.9477,0.8277,0.4116
T000083,Cost-Sensitive Commuter,0.7665,0.2026,0.6973,0.3968,0.7567,0.9637,0.2151
T000084,Cost-Sensitive Commuter,0.8634,0.548,0.5787,0.377,0.8614,0.5697,0.4732
T000085,Cost-Sensitive Commuter,0.7468,0.2293,0.6666,0.4204,0.8772,0.674,0.5278
T000086,Cost-Sensitive Commuter,0.8986,0.1999,0.8464,0.6596,0.7256,0.4391,0.3133
T000087,Cost-Sensitive Commuter,0.7913,0.3779,0.5038,0.2669,0.8412,0.6781,0.3963
T000088,Cost-Sensitive Commuter,0.8085,0.5733,0.7335,0.5934,0.9669,0.5041,0.4994
T000089,Cost-Sensitive Commuter,0.6491,0.5373,0.8678,0.5639,0.8209,0.5907,0.1628
T000090,Cost-Sensitive Commuter,0.8182,0.2388,0.5461,0.6184,0.868,0.7998,0.3081
T000091,Cost-Sensitive Commuter,0.8431,0.3025,0.5264,0.5296,0.8822,0.6652,0.3664
T000092,Cost-Sensitive Commuter,0.8548,0.152,0.7671,0.5914,0.8164,0.6792,0.2635
T000093,Cost-Sensitive Commuter,0.921,0.2098,0.5252,0.6418,0.8079,0.4724,0.67
T000094,Cost-Sensitive Commuter,0.9279,0.4114,0.5809,0.4142,0.8434,0.885,0.5773
T000095,Cost-Sensitive Commuter,0.7501,0.3717,0.6298,0.3407,0.8718,0.7037,0.5211
T000096,Cost-Sensitive Commuter,0.6562,0.1354,0.791,0.6406,0.8181,0.6862,0.4945
T000097,Cost-Sensitive Commuter,0.7831,0.3684,0.6098,0.5651,0.7776,0.7921,0.6966
T000098,Cost-Sensitive Commuter,0.9456,0.2256,0.5079,0.5612,0.8135,0.5697,0.3657
T000099,Cost-Sensitive Commuter,0.7432,0.2263,0.6048,0.2415,0.8729,0.5103,0.5184
T000100,Cost-Sensitive Commuter,0.7934,0.3404,0.8191,0.6135,0.6705,0.8314,0.4553
T000101,Time-Sensitive Professional,0.3147,0.8903,0.9388,0.8376,0.4062,0.2506,0.1228
T000102,Time-Sensitive Professional,0.381,0.7022,0.7774,0.7985,0.3328,0.3626,0.4515
T000103,Time-Sensitive Professional,0.1763,0.8917,0.7039,0.6765,0.0899,0.2133,0.3867
T000104,Time-Sensitive Professional,0.1859,0.8144,0.7708,0.8689,0.1896,0.4494,0.2086
T000105,Time-Sensitive Professional,0.1695,0.8247,0.8715,0.7498,0.3114,0.1904,0.31
T000106,Time-Sensitive Professional,0.2874,0.8517,0.8223,0.8578,0.2747,0.7192,0.3664
T000107,Time-Sensitive Professional,0.194,0.7783,0.9596,0.664,0.261,0.4137,0.21
T000108,Time-Sensitive Professional,0.3566,0.8245,0.8971,0.7841,0.1659,0.4744,0.3332
T000109,Time-Sensitive Professional,0.1925,0.9723,0.9654,0.8607,0.327,0.394,0.2389
T000110,Time-Sensitive Professional,0.3174,0.8502,0.9504,0.8964,0.3419,0.1905,0.3872
T000111,Time-Sensitive Professional,0.4771,0.9377,0.7803,0.7809,0.4761,0.2855,0.3983
T000112,Time-Sensitive Professional,0.2641,0.8451,0.837,0.8739,0.1365,0.3349,0.1745
T000113,Time-Sensitive Professional,0.2326,0.822,0.944,0.86,0.2214,0.4886,0.3517
T000114,Time-Sensitive Professional,0.4541,0.899,0.7391,0.9047,0.2811,0.213,0.415
T000115,Time-Sensitive Professional,0.1779,0.846,0.6948,0.7721,0.2748,0.4677,0.1379
T000116,Time-Sensitive Professional,0.4202,0.792,0.9812,0.7189,0.2698,0.6004,0.4039
T000117,Time-Sensitive Professional,0.4437,0.7757,0.9051,0.6533,0.1909,0.3625,0.4436
T000118,Time-Sensitive Professional,0.1701,0.7277,0.8694,0.7275,0.2391,0.1073,0.558
T000119,Time-Sensitive Professional,0.6894,0.9335,0.7596,0.7531,0.1926,0.5099,0.3915
T000120,Time-Sensitive Professional,0.4051,0.8818,0.888,0.8401,0.5148,0.2827,0.2245
T000121,Time-Sensitive Professional,0.3608,0.9227,0.9877,0.8528,0.2625,0.2952,0.3749
T000122,Time-Sensitive Professional,0.1043,0.8852,0.8786,0.7812,0.1546,0.57,0.3834
T000123,Time-Sensitive Professional,0.2734,0.972,0.9939,0.8735,0.2533,0.2309,0.4479
T000124,Time-Sensitive Professional,0.3865,0.7783,0.9163,0.6016,0.1316,0.1564,0.5227
T000125,Time-Sensitive Professional,0.3287,0.8273,0.8773,0.8127,0.3263,0.3253,0.3588
T000126,Time-Sensitive Professional,0.3859,0.9506,0.8866,0.882,0.2805,0.6626,0.3557
T000127,Time-Sensitive Professional,0.1666,0.8281,0.8191,0.4804,0.3032,0.28,0.3532
T000128,Time-Sensitive Professional,0.4965,0.8877,0.9797,0.6467,0.1517,0.4046,0.3275
T000129,Time-Sensitive Professional,0.2323,0.7839,0.9121,0.7505,0.1975,0.3409,0.3899
T000130,Time-Sensitive Professional,0.2579,0.8241,0.9517,0.8635,0.2152,0.3782,0.2519
T000131,Time-Sensitive Professional,0.6834,0.7884,0.9172,0.9513,0.1438,0.2924,0.4518
T000132,Time-Sensitive Professional,0.3581,0.7941,0.9438,0.7868,0.2291,0.2947,0.3987
T000133,Time-Sensitive Professional,0.3691,0.7639,0.9248,0.8131,0.1215,0.3893,0.3696
T000134,Time-Sensitive Professional,0.1793,0.7814,0.8578,0.8769,0.2653,0.143,0.2316
T000135,Time-Sensitive Professional,0.3419,0.869,0.872,0.8328,0.3492,0.4924,0.2103
T000136,Time-Sensitive Professional,0.3083,0.8595,0.8332,0.704,0.0701,0.3565,0.4803
T000137,Time-Sensitive Professional,0.0392,0.8755,0.9137,0.636,0.2658,0.3016,0.5606
T000138,Time-Sensitive Professional,0.1559,0.9681,0.9499,0.878,0.1214,0.1619,0.3948
T000139,Time-Sensitive Professional,0.2458,0.8267,0.7606,0.9046,0.3674,0.301,0.5941
T000140,Time-Sensitive Professional,0.2601,0.8421,0.9544,0.7773,0.0938,0.1494,0.4674
T000141,Time-Sensitive Professional,0.3952,0.7887,0.9486,0.9154,0.2295,0.4453,0.2251
T000142,Time-Sensitive Professional,0.0827,0.9899,0.8404,0.9525,0.3324,0.5561,0.367
T000143,Time-Sensitive Professional,0.4111,0.9524,0.8357,0.8955,0.2577,0.3249,0.2983
T000144,Time-Sensitive Professional,0.32,0.8452,0.9171,0.5714,0.1998,0.4107,0.3985
T000145,Time-Sensitive Professional,0.2996,0.8775,0.9495,0.9018,0.1098,0.2439,0.3531
T000146,Time-Sensitive Professional,0.4005,0.8932,0.9273,0.6283,0.2298,0.2705,0.4323
T000147,Time-Sensitive Professional,0.3615,0.8068,0.8717,0.6311,0.2844,0.2662,0.4401
T000148,Time-Sensitive Professional,0.2326,0.9419,0.8739,0.8625,0.5659,0.3138,0.2667
T000149,Time-Sensitive Professional,0.3698,0.6976,0.974,0.6921,0.3706,0.2634,0.3471
T000150,Time-Sensitive Professional,0.3267,0.8648,0.8882,0.7023,0.2107,0.3114,0.382
T000151,Time-Sensitive Professional,0.3207,0.9055,0.9207,0.8373,0.4171,0.3283,0.4006
T000152,Time-Sensitive Professional,0.5951,0.7776,0.9646,0.5026,0.2084,0.4907,0.4909
T000153,Time-Sensitive Professional,0.5534,0.9641,0.8581,0.8892,0.2709,0.2867,0.2272
T000154,Time-Sensitive Professional,0.4965,0.9248,0.8963,0.885,0.4243,0.5713,0.2491
T000155,Time-Sensitive Professional,0.1875,0.722,0.8749,0.9398,0.152,0.1822,0.252
T000156,Time-Sensitive Professional,0.3956,0.8072,0.8134,0.8753,0.1904,0.4319,0.4786
T000157,Time-Sensitive Professional,0.344,0.9717,0.9425,0.8398,0.3066,0.2622,0.4331
T000158,Time-Sensitive Professional,0.5867,0.9418,0.9396,0.7937,0.4327,0.3102,0.2602
T000159,Time-Sensitive Professional,0.5108,0.8578,0.7775,0.6348,0.2835,0.3789,0.3444
T000160,Time-Sensitive Professional,0.3986,0.7685,0.9376,0.7027,0.4073,0.5272,0.1869
T000161,Time-Sensitive Professional,0.2809,0.9083,0.8378,0.9254,0.5002,0.2181,0.1992
T000162,Time-Sensitive Professional,0.2946,0.9297,0.9702,0.8479,0.4944,0.2049,0.2516
T000163,Time-Sensitive Professional,0.2847,0.8784,0.7858,0.8959,0.3019,0.345,0.4654
T000164,Time-Sensitive Professional,0.3117,0.6561,0.9456,0.807,0.3006,0.3576,0.4293
T000165,Time-Sensitive Professional,0.2215,0.7671,0.8534,0.7555,0.3987,0.478,0.257
T000166,Time-Sensitive Professional,0.5183,0.8949,0.9252,0.813,0.1403,0.5055,0.2777
T000167,Time-Sensitive Professional,0.3683,0.5685,0.8953,0.754,0.1703,0.4394,0.2164
T000168,Time-Sensitive Professional,0.2607,0.8885,0.8746,0.7542,0.2094,0.2465,0.2604
T000169,Time-Sensitive Professional,0.2993,0.8489,0.9221,0.8615,0.2884,0.2897,0.2875
T000170,Time-Sensitive Professional,0.2628,0.7597,0.9664,0.4426,0.1743,0.1157,0.3762
T000171,Time-Sensitive Professional,0.1937,0.7953,0.8266,0.8252,0.3749,0.2449,0.3329
T000172,Time-Sensitive Professional,0.4416,0.6732,0.9224,0.8106,0.2251,0.314,0.1333
T000173,Time-Sensitive Professional,0.0948,0.9715,0.9759,0.9155,0.163,0.3751,0.22
T000174,Time-Sensitive Professional,0.2067,0.9259,0.8836,0.7457,0.1358,0.4486,0.4205
T000175,Time-Sensitive Professional,0.4424,0.8266,0.8086,0.8378,0.3794,0.2676,0.3642
T000176,Time-Sensitive Professional,0.4466,0.88,0.9353,0.7622,0.1987,0.1725,0.3023
T000177,Time-Sensitive Professional,0.2829,0.8468,0.9535,0.8154,0.2436,0.192,0.3953
T000178,Time-Sensitive Professional,0.1922,0.8325,0.9581,0.8022,0.0984,0.4422,0.2814
T000179,Time-Sensitive Professional,0.1828,0.8776,0.8423,0.6968,0.2095,0.526,0.443
T000180,Time-Sensitive Professional,0.2859,0.872,0.9422,0.5587,0.1268,0.3089,0.381
T000181,Time-Sensitive Professional,0.153,0.8102,0.9839,0.8146,0.3356,0.3598,0.2902
T000182,Time-Sensitive Professional,0.3193,0.9218,0.5882,0.7364,0.1897,0.5031,0.6099
T000183,Time-Sensitive Professional,0.3686,0.8403,0.9053,0.7492,0.2988,0.3237,0.3321
T000184,Time-Sensitive Professional,0.2739,0.9181,0.8695,0.7691,0.0672,0.3145,0.4717
T000185,Time-Sensitive Professional,0.3195,0.9236,0.8559,0.8786,0.3377,0.4541,0.4563
T000186,Time-Sensitive Professional,0.3806,0.964,0.9863,0.8771,0.2201,0.4642,0.2295
T000187,Time-Sensitive Professional,0.3014,0.8124,0.8311,0.5731,0.145,0.3294,0.2797
T000188,Time-Sensitive Professional,0.2733,0.8015,0.9246,0.6065,0.5015,0.4499,0.519
T000189,Time-Sensitive Professional,0.5663,0.8773,0.8084,0.7879,0.219,0.2643,0.2966
T000190,Time-Sensitive Professional,0.3375,0.8816,0.8961,0.7692,0.1895,0.3552,0.3734
T000191,Time-Sensitive Professional,0.3858,0.9455,0.8504,0.6151,0.1316,0.3792,0.272
T000192,Time-Sensitive Professional,0.3317,0.7318,0.9577,0.8262,0.2428,0.2513,0.4071
T000193,Time-Sensitive Professional,0.3108,0.905,0.9143,0.8055,0.3419,0.2656,0.2731
T000194,Time-Sensitive Professional,0.3012,0.8253,0.9435,0.8667,0.2375,0.3019,0.4535
T000195,Time-Sensitive Professional,0.3732,0.6591,0.9097,0.8468,0.3962,0.4456,0.3898
T000196,Time-Sensitive Professional,0.1435,0.849,0.9674,0.819,0.2953,0.5092,0.4089
T000197,Time-Sensitive Professional,0.4402,0.8593,0.9838,0.5267,0.4126,0.5093,0.4825
T000198,Time-Sensitive Professional,0.2834,0.9731,0.9582,0.9013,0.1376,0.4752,0.373
T000199,Time-Sensitive Professional,0.1243,0.9536,0.869,0.5753,0.2046,0.2881,0.3083
T000200,Time-Sensitive Professional,0.1912,0.9183,0.9442,0.7157,0.2192,0.5923,0.1961
T000201,Occasional Leisure Traveler,0.6695,0.4375,0.6022,0.753,0.5923,0.7833,0.693
T000202,Occasional Leisure Traveler,0.6725,0.3541,0.6126,0.7297,0.6005,0.6655,0.5492
T000203,Occasional Leisure Traveler,0.7745,0.5094,0.5896,0.7274,0.4064,0.8823,0.45
T000204,Occasional Leisure Traveler,0.6077,0.6059,0.3215,0.6599,0.5079,0.923,0.3553
T000205,Occasional Leisure Traveler,0.4322,0.461,0.697,0.7397,0.4051,0.7736,0.5927
T000206,Occasional Leisure Traveler,0.7218,0.6884,0.5004,0.7129,0.5957,0.8015,0.571
T000207,Occasional Leisure Traveler,0.5182,0.415,0.6377,0.4821,0.6741,0.8082,0.3977
T000208,Occasional Leisure Traveler,0.4687,0.2099,0.2765,0.6652,0.5256,0.7173,0.6025
T000209,Occasional Leisure Traveler,0.6116,0.3282,0.3679,0.752,0.5163,0.7671,0.52
T000210,Occasional Leisure Traveler,0.4238,0.4476,0.4183,0.7216,0.6694,0.5303,0.5275
T000211,Occasional Leisure Traveler,0.6158,0.8167,0.6606,0.7501,0.553,0.8901,0.5849
T000212,Occasional Leisure Traveler,0.5094,0.3584,0.7027,0.6436,0.6724,0.8633,0.6281
T000213,Occasional Leisure Traveler,0.6955,0.2244,0.3453,0.6299,0.5535,0.9471,0.5527
T000214,Occasional Leisure Traveler,0.6286,0.2799,0.5957,0.7025,0.6437,0.7387,0.65
T000215,Occasional Leisure Traveler,0.3387,0.5577,0.7189,0.7274,0.6139,0.7535,0.5973
T000216,Occasional Leisure Traveler,0.6572,0.5662,0.2863,0.7795,0.4846,0.8471,0.4465
T000217,Occasional Leisure Traveler,0.4952,0.3837,0.6965,0.732,0.4416,0.686,0.5005
T000218,Occasional Leisure Traveler,0.8027,0.3634,0.2865,0.8083,0.5703,0.8857,0.5747
T000219,Occasional Leisure Traveler,0.2623,0.4444,0.5201,0.5943,0.524,0.829,0.3986
T000220,Occasional Leisure Traveler,0.5561,0.2212,0.4878,0.5945,0.5123,0.7542,0.5683
T000221,Occasional Leisure Traveler,0.4463,0.2512,0.4982,0.7007,0.7047,0.7662,0.509
T000222,Occasional Leisure Traveler,0.785,0.4593,0.561,0.6284,0.6449,0.7456,0.4721
T000223,Occasional Leisure Traveler,0.3545,0.4876,0.6475,0.7857,0.626,0.7412,0.625
T000224,Occasional Leisure Traveler,0.6721,0.3844,0.7154,0.9523,0.2706,0.6291,0.2638
T000225,Occasional Leisure Traveler,0.3513,0.413,0.6483,0.8067,0.6403,0.9679,0.3225
T000226,Occasional Leisure Traveler,0.6124,0.3802,0.5379,0.7523,0.5181,0.7352,0.528
T000227,Occasional Leisure Traveler,0.6063,0.3262,0.4022,0.3973,0.6001,0.8301,0.4024
T000228,Occasional Leisure Traveler,0.5496,0.6225,0.5199,0.5482,0.3433,0.7363,0.7016
T000229,Occasional Leisure Traveler,0.5887,0.2748,0.3916,0.7528,0.4711,0.6434,0.609
T000230,Occasional Leisure Traveler,0.3636,0.2987,0.596,0.6439,0.5603,0.5349,0.2868
T000231,Occasional Leisure Traveler,0.5419,0.6995,0.3862,0.7892,0.5661,0.9045,0.5451
T000232,Occasional Leisure Traveler,0.3209,0.5885,0.5241,0.8007,0.5227,0.8167,0.3037
T000233,Occasional Leisure Traveler,0.4407,0.3749,0.459,0.7416,0.6893,0.7161,0.7689
T000234,Occasional Leisure Traveler,0.463,0.5009,0.6237,0.6656,0.5029,0.8833,0.3872
T000235,Occasional Leisure Traveler,0.6371,0.4083,0.7342,0.5183,0.5813,0.8985,0.5927
T000236,Occasional Leisure Traveler,0.4677,0.5731,0.5666,0.581,0.4316,0.7105,0.7653
T000237,Occasional Leisure Traveler,0.3616,0.3635,0.4773,0.6908,0.6013,0.7479,0.4896
T000238,Occasional Leisure Traveler,0.484,0.3173,0.7322,0.7572,0.6207,0.8607,0.6592
T000239,Occasional Leisure Traveler,0.7389,0.4066,0.5675,0.7513,0.5871,0.8406,0.7664
T000240,Occasional Leisure Traveler,0.4529,0.6205,0.4526,0.626,0.5939,0.8516,0.665
T000241,Occasional Leisure Traveler,0.5645,0.2547,0.4809,0.6822,0.6652,0.9058,0.6435
T000242,Occasional Leisure Traveler,0.7434,0.5647,0.4901,0.6072,0.5684,0.6152,0.5663
T000243,Occasional Leisure Traveler,0.8392,0.4142,0.6194,0.5361,0.6475,0.715,0.4859
T000244,Occasional Leisure Traveler,0.6939,0.3587,0.5141,0.6995,0.4955,0.4735,0.5788
T000245,Occasional Leisure Traveler,0.7701,0.6211,0.421,0.6971,0.402,0.9363,0.6738
T000246,Occasional Leisure Traveler,0.5623,0.304,0.5366,0.585,0.5737,0.8943,0.5752
T000247,Occasional Leisure Traveler,0.7777,0.5421,0.693,0.8487,0.7535,0.8119,0.4977
T000248,Occasional Leisure Traveler,0.4432,0.6097,0.6499,0.7837,0.3876,0.787,0.5363
T000249,Occasional Leisure Traveler,0.7265,0.496,0.8319,0.6545,0.7516,0.8534,0.5966
T000250,Occasional Leisure Traveler,0.4383,0.7541,0.5783,0.6985,0.4589,0.9257,0.4205
T000251,Occasional Leisure Traveler,0.7761,0.3163,0.4325,0.7225,0.5371,0.8245,0.3891
T000252,Occasional Leisure Traveler,0.5711,0.3266,0.5119,0.732,0.4887,0.7784,0.5811
T000253,Occasional Leisure Traveler,0.4294,0.5191,0.4773,0.8985,0.6501,0.8186,0.6002
T000254,Occasional Leisure Traveler,0.3315,0.6001,0.6791,0.54,0.6462,0.8388,0.2335
T000255,Occasional Leisure Traveler,0.4403,0.6717,0.3571,0.5765,0.5306,0.7403,0.6331
T000256,Occasional Leisure Traveler,0.6536,0.176,0.4551,0.8355,0.6917,0.6695,0.4641
T000257,Occasional Leisure Traveler,0.4946,0.1847,0.6147,0.5518,0.6933,0.8706,0.6088
T000258,Occasional Leisure Traveler,0.3777,0.3337,0.5802,0.834,0.6126,0.8468,0.4602
T000259,Occasional Leisure Traveler,0.6178,0.5626,0.682,0.7588,0.5283,0.5703,0.5497
T000260,Occasional Leisure Traveler,0.7833,0.543,0.512,0.7217,0.5798,0.8692,0.5882
T000261,Occasional Leisure Traveler,0.4399,0.6004,0.5198,0.6152,0.5046,0.776,0.5034
T000262,Occasional Leisure Traveler,0.6262,0.5724,0.3772,0.6801,0.4665,0.8495,0.5809
T000263,Occasional Leisure Traveler,0.3334,0.3283,0.5395,0.6832,0.4116,0.6559,0.3664
T000264,Occasional Leisure Traveler,0.5286,0.604,0.4803,0.8306,0.4922,0.6295,0.4345
T000265,Occasional Leisure Traveler,0.5338,0.4757,0.3059,0.8368,0.4728,0.7971,0.4778
T000266,Occasional Leisure Traveler,0.5018,0.3705,0.6734,0.665,0.3772,0.6817,0.4469
T000267,Occasional Leisure Traveler,0.2783,0.583,0.6536,0.856,0.5011,0.5924,0.4792
T000268,Occasional Leisure Traveler,0.6354,0.4527,0.725,0.7786,0.4419,0.7109,0.6914
T000269,Occasional Leisure Traveler,0.5883,0.3778,0.6467,0.4223,0.7198,0.8326,0.3365
